DEPT;RHOB;TR;VP
3662;2.1874;-9999;10335.9
3663;2.18947;-9999;10032.07
3664;2.32351;-9999;9662.455
3665;2.35649;-9999;9533.476
3666;2.38222;-9999;9507.502
3667;2.38603;-9999;9750.054
3668;2.32392;-9999;9954.694
3669;2.30153;-9999;10050.39
3670;2.26593;-9999;10045.53
3671;2.35128;-9999;10384.19
3672;2.42199;5;10144.58
3673;2.41507;-9999;10129.28
3674;2.38667;5;10049.79
3675;2.35636;5;9735.343
3676;2.34469;-9999;9326.079
3677;2.34462;5;9403.159
3678;2.33696;5;9132.619
3679;2.34478;5;9176.298
3680;2.33945;5;8936.572
3681;2.3668;5;8857.469
3682;2.41533;5;8933.214
3683;2.41147;5;9061.575
3684;2.44023;5;9497.938
3685;2.42242;5;10091.11
3686;2.44626;5;10136.4
3687;2.44998;5;10669.04
3688;2.45119;5;10955
3689;2.43618;5;11011.92
3690;2.43035;5;11061.26
3691;2.35909;4;11209.14
3692;2.33777;-9999;10817.8
3693;2.33891;5;10674.81
3694;2.35388;5;10819.67
3695;2.36062;5;10519.21
3696;2.37667;5;10459.75
3697;2.425;5;12051.08
3698;2.40277;5;9869.957
3699;2.40443;5;9855.679
3700;2.35394;3;9696.902
3701;2.31887;2;9556.763
3702;2.28618;2;9460.465
3703;2.25109;2;9361.799
3704;2.23764;2;9183.622
3705;2.27865;2;12171.47
3706;2.40693;5;14434.8
3707;2.41128;5;12417.21
3708;2.27695;2;11208.01
3709;2.07725;-9999;13021.02
3710;2.05423;-9999;7156.61
3711;2.08715;-9999;7518.302
3712;2.09255;-9999;7754.135
3713;2.08733;-9999;7495.153
3714;2.12163;2;7556.747
3715;2.22216;2;7681.834
3716;2.25513;2;9254.91
3717;2.30793;3;11077.74
3718;2.38331;5;10751.99
3719;2.34083;5;10797.32
3720;2.39067;5;10542.91
3721;2.38048;5;10260.72
3722;2.35417;5;10146.09
3723;2.37689;5;10191.06
3724;2.36325;5;10345.24
3725;2.37224;5;10550.19
3726;2.34458;-9999;10613.02
3727;2.3385;-9999;10495.51
3728;2.33889;5;10350.77
3729;2.35353;5;10195.65
3730;2.37232;5;9894.929
3731;2.36628;5;9855.133
3732;2.36414;5;9759.769
3733;2.34449;5;9405.094
3734;2.34643;-9999;9036.03
3735;2.35125;5;8936.028
3736;2.37389;5;8879.925
3737;2.365;5;9169.978
3738;2.372;5;9253.259
3739;2.39606;5;8872.042
3740;2.42159;5;9833.629
3741;2.43688;5;9914.447
3742;2.45195;5;10157.05
3743;2.41848;5;10437.7
3744;2.40913;5;10886.88
3745;2.40667;-9999;11139.03
3746;2.40778;-9999;11051.24
3747;2.37671;-9999;9964.628
3748;2.40605;-9999;9821.544
3749;2.45165;-9999;10234.92
3750;2.45179;-9999;10795.08
3751;2.46698;-9999;10869.33
3752;2.41252;-9999;11296.51
3753;2.38873;-9999;11386.06
3754;2.39829;-9999;11341.19
3755;2.38463;-9999;10792.6
3756;2.3953;5;10245.37
3757;2.39634;5;9537.548
3758;2.38003;5;9454.236
3759;2.39379;5;9433.309
3760;2.36373;5;9611.908
3761;2.3841;5;9780.432
3762;2.40329;5;10591.36
3763;2.39463;5;10871.06
3764;2.40341;5;11271.71
3765;2.41975;5;10964.2
3766;2.41402;5;10717.76
3767;2.3832;5;10398.7
3768;2.40256;5;10240.09
3769;2.40209;5;10037.48
3770;2.39634;5;10028.26
3771;2.40084;5;10028.84
3772;2.39764;5;9972.265
3773;2.40061;5;10026.51
3774;2.40357;5;9784.943
3775;2.42498;5;9704.712
3776;2.39254;5;9788.68
3777;2.39915;5;9924.236
3778;2.4447;5;10075.03
3779;2.43781;5;10165.76
3780;2.41251;5;10509.22
3781;2.43143;5;10598.83
3782;2.44562;5;10622.45
3783;2.43264;5;9900.984
3784;2.43359;5;9920.354
3785;2.41189;5;9872.515
3786;2.39231;5;10523.86
3787;2.39456;5;9690.564
3788;2.36088;5;9834.308
3789;2.33864;5;10075.35
3790;2.3663;5;9244.1
3791;2.38348;5;9474.298
3792;2.42791;5;9515.604
3793;2.4691;5;10122.51
3794;2.4584;-9999;10378.41
3795;2.43117;-9999;11282.49
3796;2.42245;5;12824.96
3797;2.39526;5;13031.81
3798;2.36639;5;11860.86
3799;2.36182;5;11267.65
3800;2.36611;5;10691.81
3801;2.35749;5;10315.15
3802;2.35522;5;10070.91
3803;2.37953;5;10022.48
3804;2.38769;5;9841.769
3805;2.3601;5;9824.482
3806;2.38868;5;9900.217
3807;2.40509;5;9916.359
3808;2.40892;5;10126.84
3809;2.39713;5;10255.66
3810;2.39074;5;10397.17
3811;2.40629;5;10573.76
3812;2.38017;5;10513.56
3813;2.39491;5;10491.89
3814;2.3792;5;10459.88
3815;2.36687;5;10216.35
3816;2.34676;5;9886.869
3817;2.37706;5;9692.047
3818;2.36373;5;9616.435
3819;2.33925;5;9365.75
3820;2.34043;5;9426.681
3821;2.34633;5;9391.954
3822;2.36377;5;9643.659
3823;2.38217;5;10198.52
3824;2.40012;5;10383.82
3825;2.43666;5;10284.45
3826;2.4484;5;10243.96
3827;2.44761;5;10423.46
3828;2.42682;5;10792.31
3829;2.4218;5;11483.49
3830;2.3989;5;10899.82
3831;2.42137;5;10770.45
3832;2.41414;5;10275.43
3833;2.4431;5;10106.72
3834;2.46737;5;9447.046
3835;2.48433;5;10052.36
3836;2.47889;5;10736.88
3837;2.46701;5;11100.96
3838;2.44057;5;11608.33
3839;2.36855;5;12212.53
3840;2.35822;5;11867.14
3841;2.36441;5;10224.65
3842;2.40686;5;9724.371
3843;2.41732;5;10077.88
3844;2.38826;5;10027.82
3845;2.42781;5;10153.02
3846;2.41596;5;10142.17
3847;2.41259;5;10105.87
3848;2.44397;5;9808.311
3849;2.36631;5;9830.465
3850;2.21128;1;9418.192
3851;2.24137;2;9414.171
3852;2.34941;3;9449.923
3853;2.39778;5;10066.35
3854;2.43779;5;9852.383
3855;2.41221;5;10838.62
3856;2.40142;5;10681
3857;2.389;5;10621.24
3858;2.4159;5;10701.53
3859;2.44616;5;10502.58
3860;2.42402;5;10463.81
3861;2.4011;5;10548.43
3862;2.43406;5;10916.67
3863;2.40705;5;11007.43
3864;2.39489;5;10865.59
3865;2.41276;5;10593.12
3866;2.42277;5;10281.82
3867;2.39827;5;10027.5
3868;2.39128;5;9997.031
3869;2.40682;5;10005.88
3870;2.39724;5;9828.959
3871;2.41206;5;9859.238
3872;2.4344;5;10091.65
3873;2.46516;5;10883.43
3874;2.49165;5;11245.35
3875;2.4798;5;12128.72
3876;2.43744;5;12343.14
3877;2.44109;5;12410.58
3878;2.42311;5;12528.92
3879;2.36241;5;12360.94
3880;2.28188;-9999;12179.62
3881;2.39784;5;11058.2
3882;2.36293;-9999;10048.59
3883;2.36544;5;9652.107
3884;2.40594;5;9516.971
3885;2.422;5;9622.033
3886;2.38193;5;9744.635
3887;2.38818;5;9963.434
3888;2.40842;5;8799.043
3889;2.40352;5;8866.126
3890;2.4143;5;9855.933
3891;2.42546;5;9905.639
3892;2.36842;5;10180.24
3893;2.36941;5;9851.171
3894;2.40963;5;10783.58
3895;2.34092;5;10800.05
3896;2.35955;5;10084.2
3897;2.38505;5;10478.23
3898;2.45205;5;10765.11
3899;2.44263;5;10941.86
3900;2.41219;-9999;10916.04
3901;2.3733;4;10788.16
3902;2.26478;2;10579.07
3903;2.14762;2;9218.984
3904;2.16797;2;8912.959
3905;2.21759;1;8817.388
3906;2.23466;2;8839.841
3907;2.29072;2;9326.709
3908;2.39775;4;9427.38
3909;2.42782;5;10661.46
3910;2.41015;5;12250.74
3911;2.38117;5;11297.36
3912;2.42653;5;9508.89
3913;2.42792;5;9976.497
